product_id,outsourcing_order_id,outsourcing_quantity,quantity_stock_in,delivery_real_
1199,1360,4.000000,4.0000000000,2022-12-01
1161,1360,4.000000,4.0000000000,2022-12-01
8440,1360,64.000000,32.0000000000,2022-12-01
8440,1360,64.000000,32.0000000000,2022-12-01
9687,1360,5.000000,5.0000000000,2022-12-01
495,1360,9.000000,9.0000000000,2022-12-01
9723,1359,118.000000,60.0000000000,2022-12-02
9723,1359,118.000000,50.0000000000,2022-12-02
7329,1358,290.000000,252.0000000000,2022-11-30
9028,1357,162.000000,,
9008,1357,163.000000,,
11430,1357,163.000000,,
8440,1356,61.000000,44.0000000000,2022-12-01
8440,1356,61.000000,17.0000000000,2022-12-01
254,1356,8.000000,8.0000000000,2022-12-01
91,1356,3.500000,3.5000000000,2022-12-01
11196,1356,3.500000,3.5000000000,2022-12-01
349,1356,13.000000,13.0000000000,2022-12-01
9421,1356,7.000000,7.0000000000,2022-12-01
740,1356,55.000000,55.0000000000,2022-12-01
463,1356,3.000000,3.0000000000,2022-12-01
10901,1356,6.000000,6.0000000000,2022-12-01
9687,1356,9.000000,9.0000000000,2022-12-01
2168,1356,5.500000,5.5000000000,2022-12-01
3989,1355,57125.000000,,
3983,1355,57125.000000,,
8508,1355,102105.000000,,
10271,1354,230.000000,230.0000000000,2022-12-06
10270,1354,230.000000,,
11434,1353,5.000000,5.0000000000,2022-11-30
7733,1352,276.000000,240.0000000000,2022-12-02
10437,1352,335.000000,335.0000000000,2022-12-06
10436,1352,335.000000,,
7296,1351,285.000000,240.0000000000,2022-12-02
8575,1351,320.000000,320.0000000000,2022-12-06
8574,1351,320.000000,,
10885,1350,280.000000,192.0000000000,2022-12-02
10885,1350,280.000000,91.0000000000,2022-12-06
9126,1350,340.000000,340.0000000000,2022-12-06
8648,1350,340.000000,,
8508,1349,23237.000000,5040.0000000000,2022-11-30
11108,1348,16.000000,16.0000000000,2022-11-29
11107,1348,7.000000,7.0000000000,2022-11-29
8440,1348,37.000000,37.0000000000,2022-11-29
2214,1348,2.000000,2.0000000000,2022-11-29
