product_id,material_offset_id,order_id,total_quota,req_mat_offset_status
807,60,394,3.000000,approval
839,60,394,3.000000,approval
2146,60,394,5.000000,approval
2124,60,394,5.000000,approval
2112,60,394,5.000000,approval
8829,61,394,0.500000,approval
8788,62,460,17.000000,approval
4547,63,531,149.000000,approval
4547,64,531,149.000000,approval
4416,65,236,6.000000,approval
3577,66,504,1.000000,approval
6587,66,504,4.000000,approval
2029,67,355,6.000000,approval
1050,68,34,3.000000,approval
2512,69,97,85.000000,approval
5420,69,97,820.000000,approval
5429,69,97,2071.000000,approval
8733,70,105,65.000000,approval
2337,71,208,67.000000,approval
1490,72,441,10.600000,approval
1490,72,440,10.600000,approval
1490,72,439,10.600000,approval
1490,72,438,10.600000,approval
8647,73,207,179.950000,approval
8497,74,206,356.950000,approval
127,75,394,1.000000,approval
60,75,394,0.500000,approval
1948,75,394,0.500000,approval
107,75,394,2.000000,approval
317,75,394,1.500000,approval
7883,75,394,0.500000,approval
1957,75,394,0.500000,approval
249,75,394,1.000000,approval
131,75,394,0.500000,approval
1941,75,394,0.500000,approval
3514,75,394,2.000000,approval
5948,75,394,6.000000,approval
3318,75,394,6.000000,approval
8434,76,394,2.000000,approval
8434,76,394,2.000000,approval
8434,76,394,2.000000,approval
8434,76,394,2.000000,approval
1061,76,394,4.000000,approval
7512,76,394,0.500000,approval
135,76,394,0.500000,approval
1810,77,394,2.000000,approval
102,78,184,4.000000,approval
7549,78,184,70.000000,approval
2410,79,536,51.000000,approval
4382,79,536,51.000000,approval
5948,79,536,1.000000,approval
8916,79,536,51.000000,approval
6731,79,536,2.000000,approval
8225,79,536,51.000000,approval
3318,79,536,1.000000,approval
6587,79,536,2.000000,approval
4482,80,312,10.000000,approval
8170,80,313,10.000000,approval
8077,80,318,20.000000,approval
4457,80,304,5.000000,approval
4457,80,302,5.000000,approval
4457,80,303,5.000000,approval
7565,81,184,70.000000,approval
2480,81,407,279.000000,approval
2569,81,407,279.000000,approval
7886,82,261,50.000000,approval
5420,83,97,594.000000,approval
262,84,266,1.400000,approval
262,84,265,3.000000,approval
262,84,264,8.000000,approval
262,84,263,4.500000,approval
1957,85,304,20.000000,approval
4542,86,394,30.000000,approval
5433,86,394,30.000000,approval
4553,87,394,30.000000,approval
7046,88,456,148.000000,approval
43,89,259,3.300000,approval
8658,89,259,5.500000,approval
8311,89,259,2.000000,approval
8347,89,259,16.500000,approval
8508,89,259,42.000000,approval
4412,89,259,28.000000,approval
4413,89,259,26.000000,approval
4414,89,259,26.000000,approval
3543,89,259,1.000000,approval
3369,89,259,1.000000,approval
5948,89,259,1.000000,approval
6734,89,259,1.000000,approval
7886,89,259,30.000000,approval
43,89,258,3.300000,approval
8658,89,258,5.500000,approval
8311,89,258,2.000000,approval
8347,89,258,16.500000,approval
8508,89,258,42.000000,approval
4412,89,258,28.000000,approval
4413,89,258,26.000000,approval
4416,89,258,26.000000,approval
6734,89,258,1.000000,approval
7886,89,258,30.000000,approval
43,90,256,12.500000,approval
8658,90,256,21.500000,approval
8311,90,256,7.500000,approval
8347,90,256,64.000000,approval
8508,90,256,163.000000,approval
4412,90,256,109.000000,approval
4413,90,256,101.000000,approval
4414,90,256,101.000000,approval
3369,90,256,1.000000,approval
3543,90,256,0.600000,approval
5948,90,256,1.000000,approval
6734,90,256,4.000000,approval
7886,90,256,105.000000,approval
43,90,253,12.500000,approval
8658,90,253,21.500000,approval
8311,90,253,7.500000,approval
8347,90,253,64.000000,approval
8508,90,253,163.000000,approval
4412,90,253,109.000000,approval
4413,90,253,101.000000,approval
4416,90,253,31.000000,approval
3369,90,253,1.000000,approval
3543,90,253,0.600000,approval
5948,90,253,1.000000,approval
6734,90,253,4.000000,approval
7886,90,253,105.000000,approval
317,91,394,2.000000,approval
416,91,394,2.000000,approval
1235,91,394,2.000000,approval
1242,91,394,2.000000,approval
1280,91,394,2.000000,approval
1285,91,394,2.000000,approval
1306,91,394,2.000000,approval
1312,91,394,1.000000,approval
763,91,394,1.000000,approval
1005,91,394,2.000000,approval
1030,91,394,2.000000,approval
4548,92,164,695.000000,approval
8497,93,199,183.000000,approval
8497,94,198,183.000000,approval
8497,95,197,183.000000,approval
8497,96,196,183.000000,approval
8863,97,195,183.000000,approval
8497,98,194,183.000000,approval
8497,99,191,183.000000,approval
8733,100,212,71.000000,approval
8733,100,211,71.000000,approval
8733,100,169,24.000000,approval
8733,100,57,21.000000,approval
8733,100,121,317.000000,approval
8733,100,56,1237.000000,approval
8733,100,55,32.000000,approval
5088,101,146,110.000000,approval
2448,102,50,20.000000,approval
1956,103,459,7.000000,approval
8890,104,276,401.000000,approval
8891,104,283,401.000000,approval
8892,104,214,301.000000,approval
8893,104,218,201.000000,approval
8895,104,277,201.000000,approval
8896,104,284,251.000000,approval
8897,104,145,701.000000,approval
8898,104,278,351.000000,approval
8899,104,285,351.000000,approval
8900,104,215,2301.000000,approval
8901,104,219,1751.000000,approval
8902,104,280,201.000000,approval
8903,104,287,151.000000,approval
8905,104,220,176.000000,approval
8688,104,276,14000.000000,approval
6740,105,500,5.000000,approval
6740,105,499,10.000000,approval
8733,106,35,315.000000,approval
8902,107,216,201.000000,approval
1997,108,333,12.700000,approval
8985,108,333,6.000000,approval
1999,108,333,2.500000,approval
1974,109,394,0.500000,approval
966,109,394,1.000000,approval
1696,109,394,8.000000,approval
1805,109,394,5.000000,approval
2638,109,394,30.000000,approval
4063,109,394,20.000000,approval
1285,109,394,2.000000,approval
3531,109,394,2.000000,approval
273,109,394,1.000000,approval
1274,109,394,5.000000,approval
1302,109,394,5.000000,approval
1232,109,394,5.000000,approval
1260,109,394,5.000000,approval
1282,109,394,5.000000,approval
7806,109,394,2.000000,approval
7811,109,394,2.000000,approval
