request_id,req_stockout_code,req_stockout_status,is_complete_req
658,12082022-658,completed,0
659,12082022-659,completed,0
663,12082022-663,completed,0
664,12082022-664,completed,0
665,12082022-665,completed,0
666,12082022-666,completed,0
667,12082022-667,completed,0
668,12082022-668,completed,0
669,12082022-669,completed,0
671,12082022-671,completed,0
673,12082022-673,completed,0
674,13082022-674,completed,0
675,13082022-675,completed,0
676,13082022-676,completed,0
678,13082022-678,completed,0
679,13082022-679,completed,0
680,13082022-680,completed,0
681,13082022-681,completed,0
683,15082022-683,completed,0
685,15082022-685,completed,0
687,15082022-687,completed,0
690,15082022-690,completed,0
691,15082022-691,completed,0
696,15082022-696,completed,0
697,15082022-697,completed,0
698,16082022-698,completed,0
699,16082022-699,completed,0
700,16082022-700,completed,0
701,16082022-701,completed,0
702,16082022-702,completed,0
703,16082022-703,completed,0
704,16082022-704,completed,0
705,16082022-705,completed,0
706,16082022-706,completed,1
707,16082022-707,completed,1
708,16082022-708,completed,0
709,16082022-709,completed,0
717,17082022-717,completed,0
718,17082022-718,completed,0
720,17082022-720,completed,0
721,17082022-721,completed,0
722,17082022-722,completed,0
723,17082022-723,completed,0
726,17082022-726,completed,0
727,17082022-727,completed,0
728,17082022-728,completed,0
729,17082022-729,completed,0
730,17082022-730,completed,0
731,17082022-731,completed,0
732,17082022-732,completed,0
733,17082022-733,completed,0
735,17082022-735,completed,0
736,17082022-736,completed,0
738,18082022-738,completed,0
739,18082022-739,completed,0
742,18082022-742,completed,0
744,18082022-744,completed,0
746,18082022-746,completed,0
747,18082022-747,completed,0
748,18082022-748,completed,1
750,18082022-750,completed,0
752,18082022-752,completed,0
753,18082022-753,completed,0
754,19082022-754,completed,0
755,19082022-755,completed,0
757,19082022-757,completed,0
760,19082022-760,completed,0
762,19082022-762,completed,0
764,19082022-764,completed,0
765,19082022-765,completed,0
766,19082022-766,completed,0
767,19082022-767,completed,0
768,19082022-768,completed,0
770,19082022-770,completed,0
771,19082022-771,completed,0
772,19082022-772,completed,0
773,19082022-773,completed,0
774,19082022-774,completed,0
775,19082022-775,completed,0
777,19082022-777,completed,0
780,19082022-778,completed,0
781,19082022-781,completed,0
783,19082022-783,completed,0
784,20082022-784,completed,0
788,20082022-788,completed,0
789,20082022-789,completed,0
790,20082022-790,completed,0
791,20082022-791,completed,0
792,20082022-792,completed,0
793,20082022-793,completed,0
794,20082022-794,completed,0
795,20082022-795,completed,0
797,21082022-797,completed,0
799,22082022-799,completed,0
800,22082022-800,completed,0
801,22082022-801,completed,0
802,22082022-802,completed,0
803,22082022-803,completed,0
804,22082022-804,completed,0
807,22082022-806,completed,0
808,23082022-808,completed,0
809,23082022-809,completed,0
810,23082022-810,completed,0
811,23082022-811,completed,0
812,23082022-812,completed,0
814,23082022-814,completed,0
815,23082022-815,completed,0
817,23082022-817,completed,0
819,23082022-819,completed,0
820,23082022-820,completed,0
822,23082022-822,completed,0
825,24082022-825,completed,0
826,24082022-826,completed,0
827,24082022-827,completed,0
828,24082022-828,completed,0
829,24082022-829,completed,0
830,24082022-830,completed,0
831,24082022-831,completed,0
832,24082022-832,completed,0
833,24082022-833,completed,0
834,25082022-834,completed,0
835,25082022-835,completed,1
836,25082022-836,completed,0
838,25082022-837,completed,0
839,25082022-839,completed,0
840,25082022-840,completed,0
842,25082022-842,completed,0
845,26082022-845,completed,0
846,26082022-846,completed,1
847,26082022-847,completed,0
